#Column 3CR	(A)		3CR source designation (1)	[meta.id;meta.main]
#Column RA1950	(A10)		Right ascension (1950.0)	[pos.eq.ra;meta.main]
#Column DE1950	(A8)		Declination (1950.0)	[pos.eq.dec;meta.main]
#Column S178MHz	(F7.1)		Flux density at 178MHz	[phot.flux.density;em.radio.100-200MHz]
3CR,RA1950,DE1950,S178MHz
,"h:m:s","d:m:s",Jy
225,09 39 36.0,+14 04.0,25.0
226,09 41 41.0,+10 05.0,13.5
227,09 45 07.0,+07 39.4,28.0
228,09 47 25.0,+14 30.0,16.0
230,09 49 25.6,+00 12.5,21.0
231,09 51 20.0,+70 05.0,13.0
234,09 58 57.3,+29 01.6,29.0
236,10 03 06.0,+35 03.0,9.0
237,10 05 22.2,+07 43.9,24.0
238,10 08 23.0,+06 41.5,13.0
239,10 08 48.0,+46 40.0,12.0
241,10 19 09.9,+22 11.9,10.0
244.1,10 30 30.0,+58 42.0,19.0
245,10 40 15.0,+12 22.0,9.5
247,10 56 09.4,+43 18.0,15.5
249,10 59 37.0,-01 00.0,20.0
249.1,11 00 12.0,+77 30.0,11.5
250,11 06 11.7,+25 15.1,11.0
252,11 08 58.0,+35 54.0,12.0
254,11 11 54.3,+40 54.0,19.0
255,11 17 02.0,-02 31.0,16.5
256,11 18 04.6,+23 45.5,9.5
257,11 20 43.0,+05 52.0,9.0
258,11 22 12.0,+19 39.0,9.0
263,11 36 55.0,+66 07.0,13.0
263.1,11 40 49.7,+22 24.6,17.5
264,11 42 31.7,+19 52.4,24.0
265,11 42 52.4,+31 50.3,18.0
266,11 43 05.9,+50 02.3,9.0
267,11 47 26.0,+13 10.0,13.5
268.1,11 57 54.0,+73 24.0,19.5
268.2,11 58 25.2,+31 47.9,9.0
268.3,12 04 12.0,+64 48.0,9.5
268.4,12 06 44.6,+43 56.8,9.0
270,12 16 38.3,+06 06.9,44.0
270.1,12 18 04.7,+33 56.0,12.0
272,12 22 02.6,+42 23.0,9.5
272.1,12 22 35.0,+13 06.0,18.0
273,12 26 31.8,+02 20.6,67.0
274,12 28 18.0,+12 40.1,970.0
274.1,12 32 57.2,+21 36.1,15.0
275,12 39 49.0,-04 39.0,9.5
275.1,12 41 27.9,+16 42.6,16.0
277,12 49 28.5,+50 52.1,12.5
277.1,12 50 18.0,+57 12.0,12.0
277.2,12 51 03.0,+15 48.0,9.5
277.3,12 51 47.7,+27 53.2,11.5
280,12 54 42.8,+47 36.1,20.0
280.1,12 58 14.2,+40 23.2,11.0
284,13 08 43.3,+27 42.0,10.5
285,13 19 07.7,+42 51.7,10.5
287,13 28 17.0,+25 25.6,14.0
286,13 28 50.0,+30 45.6,21.0
287.1,13 30 21.0,+02 19.3,11.5
288,13 36 38.0,+39 04.0,14.5
288.1,13 40 48.0,+60 12.0,9.5
289,13 43 29.2,+50 00.9,9.5
293,13 50 03.0,+31 39.3,12.0
293.1,13 52 21.0,+16 42.0,9.5
294,14 04 35.0,+34 32.0,9.0
295,14 09 33.8,+52 28.0,73.0
296,14 14 23.0,+08 31.0,12.5
297,14 14 45.0,-03 58.0,9.5
298,14 16 38.9,+06 41.5,44.0
299,14 19 07.5,+41 58.6,11.0
300,14 20 40.2,+19 50.8,16.0
300.1,14 26 06.0,-01 24.0,10.5
303,14 41 24.4,+52 17.7,12.5
303.1,14 44 06.0,+77 12.0,11.5
305,14 48 09.0,+63 33.0,13.5
305.1,14 48 24.0,+76 54.0,11.5
306.1,14 52 45.0,-03 48.0,12.5
309.1,14 59 42.0,+72 42.0,17.0
310,15 02 49.7,+26 13.3,51.0
313,15 08 32.6,+08 01.1,28.0
314.1,15 10 48.0,+71 18.0,9.0
315,15 11 31.2,+26 17.7,17.5
317,15 14 17.7,+07 11.2,43.0
318,15 17 51.4,+20 27.6,10.0
318.1,15 19 23.8,+07 50.3,11.0
319,15 22 48.0,+54 39.0,17.0
320,15 29 37.0,+35 53.0,11.5
321,15 29 40.4,+24 12.6,12.5
322,15 34 08.0,+56 05.0,9.5
323,15 40 57.0,+60 18.0,9.5
323.1,15 45 32.6,+21 03.3,9.0
324,15 47 39.0,+21 35.7,11.5
325,15 49 08.0,+62 50.0,10.5
326,15 50 13.8,+20 16.3,10.0
326.1,15 53 58.0,+20 14.1,9.0
327,15 59 59.0,+02 03.4,40.0
327.1,16 02 13.8,+01 24.1,24.0
330,16 08 59.0,+66 10.0,24.0
332,16 15 46.7,+32 28.0,10.5
334,16 18 06.8,+17 31.6,10.0
336,16 22 32.8,+23 52.1,13.5
341,16 26 04.7,+27 48.5,10.5
338,16 26 56.7,+39 39.9,41.0
337,16 27 16.0,+44 20.0,17.0
340,16 27 30.1,+23 29.6,11.0
343,16 34 18.0,+62 48.0,9.5
343.1,16 38 06.0,+62 48.0,9.0
345,16 41 18.6,+39 51.0,10.0
346,16 41 34.7,+17 19.7,11.0
348,16 48 40.3,+05 03.8,325.0
349,16 58 10.0,+47 08.0,12.0
351,17 04 03.0,+60 48.0,11.0
352,17 09 15.0,+46 02.0,11.0
353,17 17 56.1,-00 57.0,203.0
356,17 23 06.0,+51 00.5,14.5
357,17 26 26.6,+31 47.0,9.0
